Longitude,Latitude,Temperature,Humidity,Pressure,Precipitation,CloudCover,Threat
104,36,24.35,46.8,1000.63,,2.87,0.259878968
88,30,5.55,81.97,1006.53,0.05,100,0.534670346
-49,28,26.71,66.47,1025.78,0,0.03,0.510614087
5,48,22.55,64.67,1021.2,,6.4,0.591107079
-37,38,21.51,73.07,1024.64,0.04,63.53,0.763864666
-40,45,18.65,80.53,1021.48,,36.67,0.78159246
-55,28,26.75,72.1,1024.86,0.02,6.67,0.634856241
25,43,25.61,34.63,1013.83,,16.26,0.421167449
9,27,40.98,9.83,1010.02,,0,0.091141703
73,31,35.38,46.4,992.82,0,3.73,0.120963348
88,42,28.78,17.33,999.92,,100,0.195586941
42,37,40.11,11.87,998.96,,,0.01502619
46,35,41.31,7.8,1000.08,,,0.005734524
-33,47,16.11,85.73,1019.06,0.01,56.03,0.727216112
76,36,-1.02,99.67,1011.62,0.16,99.13,0.032472619
-38,35,22.81,66.77,1025.43,0,,0.82004281
95,26,19.68,96.53,1002.92,0.61,35.63,0.833636194
78,29,30.71,69.33,994.9,0.29,5,0.215174843
-38,49,15.51,87.3,1019.08,0,99.37,0.79953557
96,40,25.58,32.47,999.37,0,77.07,0.282654076
19,26,36.41,20.6,1011.61,,0.8,0.264631136
84,37,20.75,31.43,1001.48,0,94,0.304315115
115,44,25.35,48.73,1007.81,,0.2,0.443610091
41,29,42.55,8.97,1001.82,,0,0.039769949
116,44,24.25,59.07,1008.49,0,2.6,0.330184993
84,46,28.01,17.67,1000.97,,91.63,0.202407937
7,26,40.08,9.47,1008.24,,27.8,0.0186
94,36,9.88,67.63,1004.82,0.02,62.6,0.27830873
-16,35,20.91,76.17,1022.22,,,0.806055916
26,46,18.95,75.8,1013.61,1.66,42.7,0.515111827
-25,37,21.38,81.37,1020.82,0.02,8.83,0.887683658
-30,44,18.38,77.67,1017.34,0.04,9.57,0.810601299
-42,32,25.68,75.4,1025.39,0,0.43,0.466593651
8,37,26.28,68.77,1017.64,0,0,0.319551587
87,26,31.68,69.43,995.74,0.26,100,0.409728499
-56,38,25.98,84.03,1021.27,0.15,100,0.660106746
-43,40,22.75,82.07,1024.2,,,0.714129512
98,35,13.81,57.23,1001.22,0.02,50.73,0.536461688
95,41,24.35,30.57,1000.59,,100,0.308550072
16,36,26.15,65.4,1016.04,0,3.35,0.431811255
26,42,32.48,20.77,1010.47,,25.73,0.11997677
85,38,29.88,19.1,996.82,,21.7,0.163158333
-26,39,20.68,74.73,1019.66,0.05,2.67,0.354010714
-4,36,23.65,74.77,1016.62,0,72.4,0.330194048
96,41,26.75,21.9,999.61,,90.37,0.195249603
-21,30,21.81,78.4,1022.89,,6.07,0.791233333
-66,46,18.18,77.07,1012.23,0.06,100,0.505285245
-34,47,16.05,85.87,1019.79,0.01,66.43,0.802269986
91,37,12.31,48.97,1001.6,,71.87,0.403955578
51,42,28.75,67.83,1003.66,,33.33,0.319028635
64,36,36.08,11.53,999.15,,95.03,0.095344048
86,37,6.01,72.77,1005.34,0,76.53,0.288032684
82,29,13.38,99.27,1005.59,0.48,95.33,0.300870815
-21,48,17.21,89.33,1011.92,,33.53,0.812114744
-2,44,21.11,89.8,1018.65,,13.33,0.887728391
21,43,21.78,40.43,1017.44,,11.6,0.387508405
-1,27,45.28,8.23,1006.26,,,0
71,43,33.81,17.37,998.38,,73.23,0.109084524
30,38,33.45,17.1,1005.9,,0,0.070794192
71,31,36.81,43.13,992.83,0,12.83,0.242530531
56,41,40.88,12.17,1000.26,,34.2,0.077671825
70,37,28.45,16.83,999.88,,2.67,0.089438492
106,42,33.65,25.67,998.81,,95.13,0.167097222
9,40,33.38,22.13,1016.89,0,22,0.356374784
103,41,30.61,28.63,998.67,,99.8,0.209332576
48,35,34.18,11.63,1002.39,,72.47,0.102524603
60,38,41.61,8.37,999.17,,14.53,0.037760379
92,31,9.51,66.27,1000.72,0.1,100,0.721079365
91,46,28.78,10.8,1000.55,,98.93,0.166707179
-60,27,27.18,71,1023.92,0.01,49.07,0.658942208
67,49,27.38,26.83,1005.3,,,0.202766153
72,30,36.05,43.17,992.15,0.25,38.57,0.373127636
95,41,24.35,30.57,1000.59,,100,0.308550072
1,41,26.11,68.77,1017.75,,0,0.316510859
-49,27,26.75,69.3,1025.31,0.05,3.87,0.67931309
51,49,36.18,24.63,1002.97,0.15,23.57,0.19158035
111,44,31.15,28.2,1003.23,,100,0.194004545
-10,29,29.55,37.73,1011.95,,,0.288568504
-11,45,18.88,76.97,1019.83,0,15.6,0.726208586
9,46,26.88,45.5,1017.27,0,63.3,0.485443312
85,33,16.18,31.77,991.23,0,66.03,0.254932215
110,32,22.61,93.3,1004.66,0.65,93.87,0.724820457
91,29,12.95,54.57,1000.05,0.47,99.13,0.656407845
4,30,41.41,11.7,1011.7,,,0.111089683
-30,44,18.38,77.67,1017.34,0.04,9.57,0.810601299
-28,42,19.11,71.2,1017.48,0.02,19.57,0.667147074
-22,37,22.35,77.7,1020.24,0,67.43,0.711831169
102,34,11.85,77.1,1005.73,0.08,29.9,0.312964286
-36,46,16.68,77.07,1020.88,0,68.97,0.731493038
27,39,34.38,30.87,1007.43,,14.9,0.242581255
-20,35,23.31,69.77,1022.33,0,1.13,0.509156402
-51,47,13.71,99.87,1013.2,0.86,100,0.301538384
40,37,39.21,15.3,998.51,,,0.01302619
-47,34,25.65,75.43,1026.25,0,4.77,0.602762241
102,42,30.31,30.83,998.25,,91.23,0.199874603
45,26,43.55,13.9,997.62,0,48.6,0.110793723
-53,28,26.78,70,1025.14,0.04,8.7,0.751900938
-51,33,26.28,69.47,1026.27,,57.53,0.853261147
55,48,36.71,19.03,1002.29,0.13,80.53,0.105140765
39,42,27.85,75.37,1006.7,0,8.93,0.596123514
66,40,36.35,14.6,998.31,,0.07,0.042798413
-30,38,20.78,75.17,1021.95,0,34.8,0.655072133
40,30,42.55,9.67,1002.3,,0,0.038474495
-42,46,18.15,87.7,1020.06,0,100,0.803404762
-34,39,20.21,72.37,1023.51,0.02,97.87,0.699736003
117,42,16.45,91.1,1014.3,0,99.47,0.252372128
116,39,22.78,89.47,1011.97,0.3,100,0.492271284
-66,49,16.11,54.03,1013.57,0.02,95.6,0.653749747
54,41,39.48,16.67,1001.04,,0.3,0.061338889
26,36,26.48,78.47,1009.58,,,0.41847785
113,45,28.31,34.17,1005.15,,52.43,0.21835464
-6,26,45.98,6.53,1007.5,,17.13,0.01568141
-56,43,21.58,92.93,1013.03,0.14,100,0.792115079
52,38,30.21,64.83,1002.64,,0,0.099092216
80,28,29.55,75,995.31,0.91,90.23,0.45755986
-48,38,25.41,81.3,1024.5,0.01,5.47,0.823138792
-48,38,25.41,81.3,1024.5,0.01,5.47,0.823138792
-43,44,20.68,92.73,1021.33,0.01,89.73,0.847334488
14,47,21.68,33.1,1018.61,0,1.53,0.475270352
-47,29,26.15,69.2,1026.22,0,12.03,0.702528709
65,42,35.35,13.67,999.88,,,0.021734524
61,47,34.28,14.17,1004.71,,13.23,0.043565934
97,26,23.25,97.97,1001.38,0.44,18.77,0.848043323
116,45,27.11,48.4,1006.94,0.1,66.67,0.280979995
-48,29,26.35,68.3,1026.2,,2.27,0.649272619
68,26,39.58,28.17,991.11,,11.77,0.209773268
-64,31,27.25,73.83,1023.11,0.03,2.87,0.629312446
-10,42,18.41,88.67,1019.45,0,16.1,0.884837879
102,30,8.91,92.07,1011.83,0.07,85.77,0.191247619
83,46,24.38,21.57,1001.99,0,98.33,0.141868146
41,49,36.08,28.3,1000.98,0,72.03,0.20375956
-56,30,26.68,75.7,1025.19,0.01,5.07,0.648588889
109,41,27.41,45.43,1003.98,,45.87,0.28567702
4,37,25.38,76.37,1016.7,,,0.588217063
87,44,34.15,13.7,997.05,,63.4,0.163793254
15,40,26.68,69.1,1016.04,0,21.14,0.357510173
-54,46,14.55,99.83,1011.91,0.11,100,0.416101587
19,29,34.41,28.6,1012.66,,1.67,0.089591053
49,34,32.68,12.9,1003.92,,57.27,0.120798016
36,39,32.21,23.37,1003.7,,13.77,0.125771886
-56,45,16.38,98.8,1012.06,0.01,100,0.6543
63,41,36.81,11.5,1000.34,,,0.010747619
-55,41,24.88,84.33,1017.15,0.48,100,0.745220815
-35,35,22.15,69.87,1024.55,,0,0.352298016
-62,34,26.58,79.47,1022.17,0.06,100,0.774494025
35,40,28.38,40.67,1006.86,0.06,33.2,0.436150031
43,37,39.21,12.73,1000.04,,,0.005734524
81,26,33.55,57.87,994.46,0.04,90.93,0.296054906
124,27,28.15,86.43,998.06,0.38,100,0.281411136
48,46,38.48,18.93,1002.86,,3.97,0.012465873
54,40,38.51,15.47,1002.02,,0,0.041436616
3,34,35.35,11.93,1015.86,,,0.12843842
-19,34,22.45,74.77,1022.77,0,,0.69328254
31,31,35.61,28.13,1008.13,0,0,0.136339827
114,26,20.35,95.07,1006.54,0.04,98.53,0.861885245
-5,48,19.98,81.43,1020.97,,99.93,0.523086797
-43,30,25.95,70.53,1025.81,0.03,0,0.418889683
90,38,17.31,27.33,999.76,,17.63,0.173763163
47,43,34.11,29.43,1003.31,0.61,55.87,0.17191458
58,41,40.45,11.27,1000.41,,2.83,0.003233333
-21,42,20.11,88.07,1014.32,0.06,0,0.82713365
109,34,21.01,88.5,1005.65,0.11,0.83,0.936141342
14,26,38.78,12.3,1010.91,,0,0.126656385
-42,43,21.18,87.03,1022.22,0,75.27,0.878382143
29,29,38.25,18.23,1007.24,0,0,0.091628519
68,47,31.41,23.03,1001.01,,,0.116372222
-13,34,20.31,82.1,1020.09,,,0.7078803
-54,31,26.91,74.27,1025.56,0.04,100,0.695006926
73,29,37.65,39.13,992.27,0,65.27,0.404011264
16,30,33.48,25.77,1014.1,,,0.033185354
-60,31,27.31,70.97,1024.47,0.03,87.47,0.607053463
29,38,37.08,16.13,1005.02,,4.5,0.031280159
103,30,21.88,93.3,1003.87,0.98,3.17,0.88907523
89,37,12.68,40.33,1000.59,0,77.2,0.423480717
28,30,38.05,22.77,1007.89,0,1.67,0.116404618
121,33,27.25,80.37,1009.71,,62.77,0.730944528
74,37,2.51,78.47,1009.38,0.44,96.9,0.051550216
-25,38,20.91,76.57,1020.12,0.02,23.67,0.711940079
-23,43,19.35,79.2,1013.5,0.28,74.23,0.634086653
91,30,9.98,76.23,1002.11,0.55,100,0.562038817
-17,42,20.48,93.63,1016.34,0.13,68.33,0.558475422
7,29,41.45,11.7,1010.96,,,0.068824562
66,49,30.38,23.37,1004.7,,0,0.183902373
100,37,16.05,71.8,1003.46,,100,0.51909591
-12,38,19.48,80.23,1020.88,0,36.17,0.401293254
-37,46,16.81,77.7,1021.01,,100,0.849731746
12,35,26.15,67.37,1017.26,0,29.7,0.443594444
76,26,31.95,62.23,995.22,0.18,99.9,0.407606349
68,30,34.55,26.1,993.62,0.09,99.57,0.243990412
89,26,31.58,68.5,996.35,0.26,100,0.422460642
106,49,14.45,96.67,1008.91,,95.23,0.594204762
-24,33,23.48,71.9,1023.55,0,47.27,0.847750511
9,36,33.35,20.4,1016.54,0,2.77,0.320995094
15,38,26.48,38.33,1017.75,0,4.8,0.513744322
101,47,10.25,85.93,1010.1,0.15,3.13,0.692650325
77,27,31.91,63.43,995.01,0,55.47,0.365014719
41,49,36.08,28.3,1000.98,0,72.03,0.20375956
20,39,25.58,80.47,1011.66,,,0.631430159
44,48,36.91,21.8,1001.19,0.01,64.47,0.193848016
69,42,33.65,16.73,998.94,,,0.016737302
102,47,12.65,90.03,1009.27,,0.43,0.889733333
17,29,34.75,23.8,1013.2,,,0.104786544
-8,36,20.65,77.4,1016.88,0,,0.298734921
32,43,25.51,75.8,1009.34,0.02,44.57,0.434589598
-2,26,44.25,8.87,1006.43,,0.27,0.057935354
64,46,33.65,18.13,1002.84,,47.47,0.07276627
60,39,41.51,8.53,999.2,,49.63,0.11520696
120,45,20.75,86.3,1011.81,0.12,7.5,0.925041259
10,29,36.88,13.77,1013.59,,,0.113496825
83,43,12.21,69.63,1007.2,0.42,100,0.525028175
5,42,23.08,79.97,1017.82,,3,0.740351118
119,47,21.51,79.9,1010.83,,,0.673076371
-28,33,23.65,76.9,1024.1,0,3.47,0.563319805
-22,29,22.05,77.17,1022.73,,4.53,0.630168038
28,32,27.15,74.4,1010.66,0,0,0.890129473
-15,46,18.78,94.4,1016.08,0.16,100,0.689968759
61,48,34.35,16.5,1004.84,,32.9,0.038865079
21,44,23.95,42.87,1018.07,,5.87,0.600496934
79,41,14.58,63.4,1006.96,0.2,100,0.323407792
76,39,22.11,43.93,1004.07,0,100,0.634494913
52,32,32.58,10.1,1004.2,,0.3,0.063426876
85,41,34.45,18.13,996,,99.7,0.150338095
-60,45,17.71,95.5,1011.74,0,34.3,0.590516955
116,38,23.15,94.67,1011.48,0.43,100,0.378445635
98,36,21.01,41.17,996.48,0.03,69.6,0.40683027
93,47,23.88,22.93,1003.69,,53.63,0.178705342
114,36,21.48,98.33,1010.14,1.93,100,0.846995887
13,48,22.65,59.4,1020.46,,,0.733232021
102,48,13.85,87.97,1009.02,,2.9,0.917082937
93,42,32.65,15.83,997.7,,100,0.137417063
-57,48,18.98,82.2,1011.04,0.06,85.33,0.577017569
103,30,21.88,93.3,1003.87,0.98,3.17,0.88907523
-54,44,18.75,97.6,1013.63,0.43,96.87,0.928471176
73,41,29.88,18.53,999.35,0,66.73,0.181210714
32,33,27.48,70.87,1008.48,0,51.85,0.434871781
96,42,22.75,21.6,1003.16,,100,0.152112729
101,46,17.11,66.77,1006.77,,0,0.805685931
22,32,33.95,27.53,1011.08,0,0.47,0.229991089
103,35,12.11,78.3,1007.18,,3.33,0.492447763
-31,32,23.91,69.53,1024.94,,,0.71378653
94,41,29.21,23.17,998.08,,100,0.207616703
111,44,31.15,28.2,1003.23,,100,0.194004545
100,34,8.18,85.2,1007.61,0.01,25.3,0.826470482
78,37,6.38,96.53,1010.17,0.46,100,0.167152381
64,43,33.98,15.53,1001.63,,0,0.044079473
8,33,38.31,17.97,1014.54,0,0,0.25030305
-34,33,24.55,80.97,1024.07,0.03,11.33,0.886461555
86,46,37.61,9.1,996.74,,85.8,0.132534921
91,49,23.75,26.3,1002,,23.23,0.460446803
28,41,29.08,52.33,1010.15,0,45.4,0.583516753
-30,37,21.58,77.1,1022.32,0.01,3.07,0.551083333
-14,39,20.61,77.57,1021.21,,3.27,0.806144505
34,45,27.48,61.37,1006.36,0,8.37,0.289976304
2,47,27.68,43.9,1019.94,0,0,0.609140079
-14,36,20.01,79.37,1021.63,,,0.890432937
-58,28,27.01,73,1024.46,0.1,39.87,0.809673773
93,34,14.15,50.83,996.79,0.02,95.13,0.369496678
-28,39,20.25,76.43,1020.55,0.06,51.97,0.756224603
-52,42,22.68,91.53,1018.22,1,74.73,0.853638684
-51,42,21.81,94.03,1019,0.48,36.73,0.621270432
-17,34,21.35,77.5,1022.45,,,0.937805123
55,31,34.01,9,1002.8,,,0.024450397
-25,35,23.51,83.9,1022.01,0.1,2.73,0.908648413
38,32,37.88,13.5,1004.2,0,0,0.057780592
60,39,41.51,8.53,999.2,,49.63,0.11520696
17,46,27.65,29.73,1018.86,,1.07,0.484034199
52,47,39.35,15.6,1002.21,,9.33,0.024057143
-7,35,22.21,74.63,1016.02,0,2.08,0.431040873
74,45,32.41,21.83,997.51,,72.13,0.176392063
115,44,25.35,48.73,1007.81,,0.2,0.443610091
1,35,34.91,11.53,1016.06,0,0.59,0.252226732
103,33,9.91,86.27,1008.12,0,28.17,0.636286328
-14,30,20.48,87.83,1018.44,0,0.2,0.828950758
90,27,21.95,95.37,1001.45,1.15,99.97,0.750916015
-3,49,19.71,85.43,1022.14,,36.8,0.907436111
39,48,34.78,31.4,1001.21,0,37.33,0.257598008
91,31,5.85,91.5,1004.76,0.52,92.83,0.252813173
-4,37,31.28,14.97,1016.83,0,,0.342025008
85,27,30.98,72.27,995.48,0.15,92.37,0.390825649
110,43,28.95,38.13,1003.8,,96.83,0.155450216
-11,49,19.15,85.67,1019.28,0,99.47,0.84170754
113,32,26.25,90.1,1004.77,0.07,76.77,0.45247974
80,45,8.15,69.37,1010.11,0.06,98.6,0.384131457
83,30,10.55,55.5,1002.13,0,36.4,0.296914175
1,45,31.51,38,1017.33,0,24.8,0.662720563
86,30,6.25,71.33,1004.73,0.6,99.4,0.424569625
73,46,31.78,25.2,997.46,,34,0.246301227
37,46,27.61,78.83,1003.65,0,10.2,0.309716973
-11,42,19.01,80.27,1020.27,0,22.9,0.857007143
86,28,10.21,93.73,1008.78,0.28,82.93,0.705690729
-32,38,20.41,73.93,1022.98,0,99.53,0.584315079
75,29,34.51,52.57,993.8,0.07,66.57,0.339099054
72,48,23.61,48.83,1001.7,0.01,45.6,0.464306749
89,36,15.71,33.07,993.24,0.1,99.93,0.345332121
74,35,7.45,78.93,1007.5,0.13,16.77,0.508404654
-22,27,21.85,80.27,1021.89,,44.3,0.849011508
23,30,36.31,25.2,1010.05,0,1.07,0.161836905
-13,27,28.21,36.9,1015.34,0,0,0.522027706
71,38,6.15,67.2,1011.61,0.58,96.9,0.188036616
16,38,28.71,45.93,1015.94,0,16.3,0.280454582
22,43,23.55,45.33,1017.42,,2.8,0.510695518
-6,42,33.25,18.23,1014.96,0,25.87,0.236579978
-48,40,24.41,87.67,1023.12,0.01,3.07,0.850885029
-4,27,43.25,6.57,1009.34,,,0.00175
-57,33,26.91,68.27,1025.29,0,29.33,0.6559568
-55,45,16.45,99.37,1012.25,0.01,99.07,0.560369902
-29,34,23.81,82.57,1023.32,0.06,3.67,0.956272741
110,35,25.88,75.13,1004.34,0,6,0.363238045
102,34,11.85,77.1,1005.73,0.08,29.9,0.312964286
26,32,26.91,74.1,1011.51,0,0,0.916508442
73,37,2.68,64.27,1010.55,0.04,99.27,0.132097619
-10,28,36.15,18.5,1010.06,,,0.023940232
-23,28,21.98,78.23,1022.84,0,26.07,0.820046104
108,35,21.85,81.07,1005.47,0,18.63,0.697857196
85,44,19.51,36,1005.04,0,100,0.541608744
72,27,37.65,35.63,992.69,,0.27,0.155678499
41,45,37.75,23.8,1002.5,0,2.33,0.199235029
18,27,35.88,20.43,1012.01,,12.4,0.138064361
48,31,48.65,12.83,994.74,,0,0.110409632
113,45,28.31,34.17,1005.15,,52.43,0.21835464
-53,47,17.15,99,1011.81,0.37,100,0.679372294
-43,48,14.35,95.53,1017.13,0.01,100,0.477849506
88,40,32.61,18,995.92,,5,0.06458824
-13,30,20.48,88.4,1017.16,,0,0.867337053
17,29,34.75,23.8,1013.2,,,0.104786544
6,32,40.18,12.23,1013.71,0,0,0.184942424
-54,47,16.98,98.2,1011.38,0.43,95.83,0.709130911
-26,35,23.35,83.1,1022.17,0.04,9.17,0.928337662
-58,28,27.01,73,1024.46,0.1,39.87,0.809673773
-53,31,26.71,73.13,1025.68,0.02,100,0.68245772
-31,37,21.48,77.7,1022.67,0.05,4.6,0.852675
-37,45,17.38,80.13,1021.67,,100,0.680173846
-65,43,18.21,93.93,1012.08,,36.17,0.762104437
-40,36,22.85,64.6,1025.86,,,0.741541792
55,28,40.81,13,997.38,,54.13,0.161277656
102,26,23.41,63.73,1001.52,0.06,77.67,0.53359425
19,46,27.11,35,1018,,14.87,0.554949567
86,43,11.38,58.17,1008.42,0.08,87.2,0.429133514
11,48,22.45,59.17,1020.44,,20.33,0.733617388
-58,35,26.25,80.33,1023.54,0.2,70.4,0.812999714
110,48,22.25,65.2,1003.46,0,100,0.654379545
112,44,31.61,26.87,1003.6,,37.33,0.225065115
21,38,26.08,76.7,1011.3,,0,0.832034127
106,36,20.11,65.33,1004.9,0.01,84.73,0.681348016
86,43,11.38,58.17,1008.42,0.08,87.2,0.429133514
81,48,26.58,37.03,1001.02,,7.7,0.176820202
-48,32,26.15,67.77,1026.44,0,3.47,0.639543788
-66,37,25.78,83.57,1014.71,1.07,100,0.557613578
110,32,22.61,93.3,1004.66,0.65,93.87,0.724820457
-4,33,37.65,10.6,1013.27,0,0,0.186217785
105,48,14.41,90.57,1008.94,0,66.33,0.516752706
73,48,24.08,42.2,1002,0.21,97.37,0.482713548
14,30,33.45,22.87,1014.44,,,0.056671068
105,34,18.85,85.67,1004.59,0.07,66.67,0.783680804
113,48,26.15,45,1002.46,,99.67,0.362195851
60,29,36.51,7.37,999.26,,,0.023692857
79,29,29.98,66.27,995.4,0.04,7.8,0.179836461
33,33,27.75,70.53,1008.13,0,52.3,0.400880804
-50,42,21.65,94.13,1019.9,0,27.47,0.766602575
124,49,23.81,90.43,1010.99,,69.37,0.704407357
63,26,39.35,27.77,994,,0.93,0.212167244
103,26,15.08,88.97,1007.25,0.66,44.17,0.598142366
23,42,27.75,23.43,1013.87,,0,0.21000984
0,49,27.68,51.77,1021.54,,0.13,0.652831349
83,26,31.58,68.83,994.94,0.11,100,0.362496517
-9,35,20.55,83.97,1017.33,0,5.78,0.867241234
34,29,30.41,23.3,1009.14,0,0,0.251258578
-23,35,23.48,83.2,1021.96,0.02,1.97,0.871368845
-30,36,22.05,72.17,1022.74,0,4.9,0.519117063
96,43,30.08,16.67,999.81,,67.5,0.187769841
-45,45,17.95,97.63,1020.24,0.02,100,0.920419217
-65,33,27.15,80.53,1021.09,0.03,17.57,0.911220022
90,45,32.61,10.13,998.61,,87.5,0.092210714
45,45,40.75,12.73,1001.16,,1.8,0.004377489
0,33,35.01,12,1016.17,0,0,0.267375361
109,28,23.61,90.83,1003.87,0.44,45.73,0.740059549
-41,48,15.55,84.93,1018.5,0,100,0.732516198
-18,31,21.75,79.97,1021.69,,0.33,0.813565152
33,35,31.15,37.87,1006.15,0,9.93,0.311123721
45,42,33.38,22.63,1003.62,0,0.83,0.190044392
-59,37,26.25,82.9,1020.66,0.25,62.6,0.806060317
77,28,32.88,59.5,994.3,0.04,22.47,0.308440007
119,33,24.48,87.77,1009.08,,85.93,0.77740368
91,39,12.58,42.37,1005.74,,80.73,0.284406693
12,49,23.78,39.03,1020.74,,,0.463889141
105,48,14.41,90.57,1008.94,0,66.33,0.516752706
-24,43,19.01,79.77,1013.95,0.12,67.13,0.520468162
-6,47,19.68,87.2,1020,,100,0.574784676
-23,44,17.85,83.83,1013.08,0.77,68.33,0.526549562
103,30,21.88,93.3,1003.87,0.98,3.17,0.88907523
41,27,40.15,7.57,1002.68,,0.37,0.044257828
106,34,20.21,87.4,1004.18,0.03,0.8,0.905397258
-2,39,34.51,14.93,1015.58,0,0,0.247883297
112,32,27.41,85.7,1004.16,0.01,57.7,0.45069649
24,26,37.11,13.27,1009.82,,8.87,0.024931349
35,36,28.11,64.57,1005.28,0,0,0.307311824
75,29,34.51,52.57,993.8,0.07,66.57,0.339099054
-51,46,14.71,99.87,1014.1,3,100,0.419419372
-17,46,18.45,95.87,1013.74,0,25.63,0.716855464
74,43,24.88,42.87,1002.99,0.04,100,0.49441481
55,29,33.45,11.77,1001.99,,,0.010200397
-7,30,41.85,7.83,1011.8,,3.97,0.119051876
-59,41,24.11,88.47,1013.63,2.74,100,0.88288254
69,41,36.28,15.43,997.16,,0.07,0.072441667
122,43,25.41,78.57,1011.69,,21,0.712888492
123,43,25.55,78.03,1012.18,0,0.57,0.734085317
97,34,9.11,78.23,1003.89,0.28,62.73,0.43196461
71,27,39.68,27.8,991.38,,,0.211240729
-28,28,23.35,74.07,1024.4,0.01,37.47,0.710393598
43,26,43.48,8.23,998.92,,34.83,0.073762302
20,41,33.55,25,1011.67,,3.2,0.094169625
73,46,31.78,25.2,997.46,,34,0.246301227
